Symbol,Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
fcx,2016/3/24,9.37,10.15,9.1,10.105,50229261,1,0,0
fdx,2016/3/24,161.3,162.808,160.54,162.65,971366,1,0,0
fe,2016/3/24,35.85,36.25,35.78,36.16,2688711,1,0,0
ffiv,2016/3/24,103.61,103.791,100.99,103.14,662601,1,0,0
fhn,2016/3/24,12.97,13.04,12.8,13.04,1258889,1,0,0
fii,2016/3/24,28.07,28.27,27.89,28.21,317618,1,0,0
fis,2016/3/24,62.67,62.775,61.95,62.62,1362143,1,0,0
fisv,2016/3/24,100,100.53,99.04,99.76,817881,1,0,0
fitb,2016/3/24,17.03,17.15,16.78,17.1,6238099,1,0,0
fl,2016/3/24,63.73,63.83,63.12,63.47,1680531,1,0,0
flir,2016/3/24,33.2,33.33,32.87,33.11,490083,1,0,0
flr,2016/3/24,53.73,54.15,53.35,54.13,912504,1,0,0
fls,2016/3/24,43.96,44.14,43.33,44.13,1822576,1,0,0
fmc,2016/3/24,41.01,41.27,40.09,40.55,809589,1,0,0
fosl,2016/3/24,43.31,44.04,42.87,43.98,561773,1,0,0
fox,2016/3/24,27.9,28.115,27.74,28.01,2560135,1,0,0
foxa,2016/3/24,27.58,27.845,27.55,27.74,5222086,1,0,0
frt,2016/3/24,151.93,152.57,151.22,152.35,439860,1,0,0
fslr,2016/3/24,68.05,68.84,66.6101,68.46,1336330,1,0,0
fti,2016/3/24,26.35,27.03,26.11,26.97,1914869,1,0,0
ftr,2016/3/24,5.21,5.28,5.07,5.27,8811011,1,0,0
gas,2016/3/24,64.52,64.88,64.5,64.81,253244,1,0,0
gd,2016/3/24,132.4,132.4,127.73,129.1,3067762,1,0,0
ge,2016/3/24,30.91,31.11,30.82,31.1047,20352246,1,0,0
ggp,2016/3/24,28.81,28.87,28.54,28.74,2551714,1,0,0
ghc,2016/3/24,462.1,470,458.43,469,14111,1,0,0
gild,2016/3/24,89.61,92.82,89.44,91.32,13070634,1,0,0
gis,2016/3/24,60.59,61.89,60.59,61.36,4813538,1,0,0
glw,2016/3/24,19.89,20.285,19.825,20.26,6320998,1,0,0
gm,2016/3/24,30.88,30.97,30.39,30.96,8835337,1,0,0
gme,2016/3/24,30.34,30.5,29.61,30.28,3594693,1,0,0
gnw,2016/3/24,2.78,2.78,2.53,2.66,10697976,1,0,0
goog,2016/3/24,732.1,737.747,730.92,735.27,1344004,1,0,0
googl,2016/3/24,752,757.555,750.5,754.84,1365464,1,0,0
gpc,2016/3/24,97.13,97.8,96.93,97.74,416305,1,0,0
gps,2016/3/24,28.6,28.8,28.23,28.75,3825064,1,0,0
gra,2016/3/24,70.48,71.08,69.86,70.62,548351,1,0,0
grmn,2016/3/24,39.16,39.16,38.4,38.97,685015,1,0,0
gs,2016/3/24,152.45,153.04,150.13,153.01,3476941,1,0,0
gt,2016/3/24,31.99,32.325,31.72,32.18,1614482,1,0,0
gww,2016/3/24,228.05,231.05,227.76,229.27,476302,1,0,0
hal,2016/3/24,34.41,35.31,34.28,35.24,5909447,1,0,0
har,2016/3/24,84.7,85.68,82.79,85.635,744854,1,0,0
has,2016/3/24,77.63,78,77.11,77.34,813194,1,0,0
hban,2016/3/24,9.53,9.61,9.43,9.58,6890539,1,0,0
hbi,2016/3/24,28.08,28.31,27.66,28.17,1613458,1,0,0
hca,2016/3/24,76.19,77,75.33,76.37,2253912,1,0,0
hcn,2016/3/24,66.45,67.13,65.85,66.96,1366668,1,0,0
hcp,2016/3/24,31.5,31.8,30.96,31.7,2725361,1,0,0
